
DATE,OSS_KEYWORD,USERS,SITE_VISITS,RANK,KEYWORD_CATEGORY
2021-01-01,ps5,183.648516762,187.396445676,1,Toy & Games
2021-01-01,nintendo switch,164.908872195,174.903349298,2,Toy & Games
2021-01-01,playstation 5,158.662324006,161.160943281,3,Toy & Games
2021-01-01,monitor,127.42958306,143.670608352,4,Computer
2021-01-01,gaming chair,119.933725233,121.18303487,5,Furniture
2021-01-01,oculus quest 2,116.185796319,119.933725233,6,Movie
2021-01-01,xbox series x,113.687177043,121.18303487,7,Computer
2021-01-01,office chair,112.437867406,124.930963784,8,Furniture
2021-01-01,the office,112.437867406,117.435105957,8,Movie
2021-01-01,amazonbasics,104.942009579,108.689938492,10,Amazon
2021-01-02,ps5,175.116756014,183.629376098,1,Toy & Games
2021-01-02,nintendo switch,165.388047346,177.54893318,2,Toy & Games
2021-01-02,monitor,145.930630011,155.659338679,3,Computer
2021-01-02,playstation 5,139.850187094,142.282364261,4,Toy & Games
2021-01-02,amazonbasics,127.68930126,130.121478427,5,Amazon
2021-01-02,eggs,116.744504009,116.744504009,6,Grocery
2021-01-02,webcam,109.447972508,114.312326842,7,Computer
2021-01-02,ssd,107.015795342,113.096238259,8,Computer
2021-01-02,xbox series x,102.151441008,103.367529591,9,Computer
2021-01-02,gaming chair,99.719263841,105.799706758,10,Furniture
2021-01-02,toilet paper,99.719263841,100.935352424,10,Grocery
2021-01-03,ps5,167.376679477,169.685323332,1,Toy & Games
2021-01-03,eggs,133.901343582,143.135919001,2,Grocery
2021-01-03,nintendo switch,123.512446235,135.055665509,3,Toy & Games
2021-01-03,monitor,120.049480453,122.358124307,4,Computer
2021-01-03,playstation 5,106.197617323,108.506261178,5,Toy & Games
2021-01-03,amazonbasics,102.734651541,102.734651541,6,Amazon
2021-01-03,bread,100.426007686,101.580329614,7,Grocery
2021-01-03,milk,100.426007686,103.888973469,7,Grocery
2021-01-03,desk,99.271685759,105.043295396,9,Furniture
2021-01-03,air fryer,99.271685759,107.351939251,9,Appliance
2021-01-04,ps5,156.909939927,162.721419183,1,Toy & Games
2021-01-04,webcam,146.25556129,151.09846067,2,Computer
2021-01-04,eggs,123.009644263,126.883963768,3,Grocery
2021-01-04,nintendo switch,118.166744883,124.946804016,4,Toy & Games
